1092692,The role of pattern-recognition receptors in innate immunity: update on Toll-like receptors,2010,"['T Kawai', 'S Akira']", | 0TG2laoAAAAJ,,,,,,The discovery of Toll-like receptors (TLRs) as components that recognize conserved structures in pathogens has greatly advanced understanding of how the body senses pathogen invasion. triggers innate immune responses and primes antigen-specific adaptive,False,,7826,https://www.nature.com/articles/ni.1863.pdf?origin=ppub,,"/scholar?cites=1486285274983996239&as_sdt=5,33&sciodt=0,33&hl=en",http://theory.bio.uu.nl/immbio/pdf/Kawai_2010.TLRs.pdf,0,0,0
1092693,The ubiquitin code,2012,"['D Komander', 'M Rape']",JRyrNgUAAAAJ | 2lhGinMAAAAJ,,,,,,The posttranslational modification with ubiquitin. a process referred to as ubiquitylation. controls almost every process in cells. Ubiquitin can be attached to substrate proteins as a single moiety or in the form of polymeric chains in which successive ubiquitin molecules are,False,,2422,https://www.annualreviews.org/doi/abs/10.1146/annurev-biochem-060310-170328,,"/scholar?cites=3280939040173369746&as_sdt=5,33&sciodt=0,33&hl=en",http://mcb.berkeley.edu/labs/rape/reprints/Komander_AnnRevBiochem_2012.pdf,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1092694,The complexity of NF-κB signaling in inflammation and cancer,2013,"['B Hoesel', 'JA Schmid']", | 7kJu_MYAAAAJ,,,,,,The NF-κB family of transcription factors has an essential role in inflammation and innate immunity. Furthermore. NF-κB is increasingly recognized as a crucial player in many steps of cancer initiation and progression. During these latter processes NF-κB cooperates with,False,,2213,https://molecular-cancer.biomedcentral.com/articles/10.1186/1476-4598-12-86,,"/scholar?cites=15853327175305951511&as_sdt=5,33&sciodt=0,33&hl=en",https://molecular-cancer.biomedcentral.com/articles/10.1186/1476-4598-12-86,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1092695,Molecular mechanisms of necroptosis: an ordered cellular explosion,2010,"['P Vandenabeele', 'L Galluzzi', 'TV Berghe']",5ITfGIYAAAAJ | UmxSTswAAAAJ | F_-LZUIAAAAJ,,,,,,For a long time. apoptosis was considered the sole form of programmed cell death during development. homeostasis and disease. whereas necrosis was regarded as an unregulated and uncontrollable process. Evidence now reveals that necrosis can also occur in a,False,,2056,https://www.nature.com/articles/nrm2970/boxes/bx2,,"/scholar?cites=13343760419733838961&as_sdt=5,33&sciodt=0,33&hl=en",https://www.academia.edu/download/49044817/Vandenabeele_P._Galluzzi_L._Vanden_Bergh20160922-6561-opirja.pdf,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1092696,Breaking the chains: structure and function of the deubiquitinases,2009,"['D Komander', 'MJ Clague', 'S Urbé']",JRyrNgUAAAAJ | 8VTKJI8AAAAJ | ,,,,,,Ubiquitylation is a reversible protein modification that is implicated in many cellular functions. Recently. much progress has been made in the characterization of a superfamily of isopeptidases that remove ubiquitin: the deubiquitinases (DUBs; also known as,False,,1691,https://www.nature.com/articles/nrm2731,,"/scholar?cites=15000600026680890118&as_sdt=5,33&sciodt=0,33&hl=en",https://www.researchgate.net/profile/David_Komander/publication/26689443_Breaking_the_chains_Structure_and_function_of_the_deubiquitinases/links/02e7e51e45900d651c000000/Breaking-the-chains-Structure-and-function-of-the-deubiquitinases.pdf,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1092697,NF-κB. the first quarter-century: remarkable progress and outstanding questions,2012,"['MS Hayden', 'S Ghosh']",M3-rj3AAAAAJ | SyQ-MLQAAAAJ,,,,,,The ability to sense and adjust to the environment is crucial to life. For multicellular organisms. the ability to respond to external changes is essential not only for survival but also for normal development and physiology. Although signaling events can directly modify,False,,1510,http://genesdev.cshlp.org/content/26/3/203.short,,"/scholar?cites=9960309438688609819&as_sdt=5,33&sciodt=0,33&hl=en",http://genesdev.cshlp.org/content/26/3/203.full.pdf,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1092698,Signaling in innate immunity and inflammation,2012,"['K Newton', 'VM Dixit']", | 9POE9sIAAAAJ,,,,,,Inflammation is triggered when innate immune cells detect infection or tissue injury. Surveillance mechanisms involve pattern recognition receptors (PRRs) on the cell surface and in the cytoplasm. Most PRRs respond to pathogen-associated molecular patterns,False,,1237,https://cshperspectives.cshlp.org/content/4/3/a006049.short,,"/scholar?cites=14117543820506866903&as_sdt=5,33&sciodt=0,33&hl=en",https://cshperspectives.cshlp.org/content/4/3/a006049.full.pdf,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
