id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations

1005000,"New evidence and consensus has led to further revision of the McDonald Criteria for diagnosis of multiple sclerosis. The use of imaging for demonstration of dissemination of central nervous system lesions in space and time has been simplified, and in some circumstances dissemination in space and time can be established by a single scan. These revisions simplify the Criteria, preserve their diagnostic sensitivity and specificity, address their applicability across populations, and may allow earlier diagnosis and more uniform and widespread use. Ann Neurol 2011",Chris H Polman and Stephen C Reingold and Brenda Banwell and Michel Clanet and Jeffrey A Cohen and Massimo Filippi and Kazuo Fujihara and Eva Havrdova and Michael Hutchinson and Ludwig Kappos and Fred D Lublin and Xavier Montalban and Paul O'Connor and Magnhild Sandberg‐Wollheim and Alan J Thompson and Emmanuelle Waubant and Brian Weinshenker and Jerry S Wolinsky,8202,12217330472049840093,Annals of neurology,2,292-302,"Wiley Subscription Services, Inc., A Wiley Company",Diagnostic criteria for multiple sclerosis: 2010 revisions to the McDonald criteria,https://onlinelibrary.wiley.com/doi/abs/10.1002/ana.22366,69,2011,/scholar?cites=12217330472049840093,AbKd9soAAAAJ:lSLTfruPkqcC

1005001,"New diagnostic criteria for multiple sclerosis integrating magnetic resonance image assessment with clinical and other paraclinical methods were introduced in 2001. The “McDonald Criteria” have been extensively assessed and used since 2001. New evidence and consensus now strengthen the role of these criteria in the multiple sclerosis diagnostic workup to demonstrate dissemination of lesions in time, to clarify the use of spinal cord lesions, and to simplify diagnosis of primary progressive disease. The 2005 Revisions to the McDonald Diagnostic Criteria for MS should simplify and speed diagnosis, whereas maintaining adequate sensitivity and specificity. Ann Neurol 2005",Chris H Polman and Stephen C Reingold and Gilles Edan and Massimo Filippi and Hans‐Peter Hartung and Ludwig Kappos and Fred D Lublin and Luanne M Metz and Henry F McFarland and Paul W O'Connor and Magnhild Sandberg‐Wollheim and Alan J Thompson and Brian G Weinshenker and Jerry S Wolinsky,5795,1794828211648411092,Annals of Neurology: Official Journal of the American Neurological Association and the Child Neurology Society,6,840-846,"Wiley Subscription Services, Inc., A Wiley Company",Diagnostic criteria for multiple sclerosis: 2005 revisions to the “McDonald Criteria”,https://onlinelibrary.wiley.com/doi/abs/10.1002/ana.20703,58,2005,/scholar?cites=1794828211648411092,AbKd9soAAAAJ:-nhnvRiOwuoC

1005002,"We have previously shown correction of X-linked severe combined immunodeficiency [SCID-X1, also known as γ chain (γc) deficiency] in 9 out of 10 patients by retrovirus-mediated γc gene transfer into autologous CD34 bone marrow cells. However, almost 3 years after gene therapy, uncontrolled exponential clonal proliferation of mature T cells (with γδ+ or αβ+ T cell receptors) has occurred in the two youngest patients. Both patients9 clones showed retrovirus vector integration in proximity to the LMO2 proto-oncogene promoter, leading to aberrant transcription and expression of LMO2. Thus, retrovirus vector insertion can trigger deregulated premalignant cell proliferation with unexpected frequency, most likely driven by retrovirus enhancer activity on the LMO2 gene promoter.",Salima Hacein-Bey-Abina and Christof Von Kalle and M Schmidt and MP McCormack and N Wulffraat and Pet al Leboulch and A Lim and CS Osborne and R Pawliuk and E Morillon and R Sorensen and A Forster and P Fraser and JI Cohen and G de Saint Basile and I Alexander and U Wintergerst and T Frebourg and A Aurias and D Stoppa-Lyonnet and S Romana and I Radford-Weiss and F Gross and F Valensi and E Delabesse and E Macintyre and F Sigaux and J Soulier and LE Leiva and M Wissler and C Prinz and TH Rabbitts and F Le Deist and A and Fischer and M Cavazzana-Calvo,3900,4809218117648580697,science,5644,415-419,American Association for the Advancement of Science,LMO2-associated clonal T cell proliferation in two patients after gene therapy for SCID-X1,https://science.sciencemag.org/content/302/5644/415.abstract,302,2003,/scholar?cites=4809218117648580697,AbKd9soAAAAJ:2u1QkWOsl3MC

1005003,"BackgroundObservational and experimental data suggest that antioxidant and/or zinc supplements may delay progression of age-related macular degeneration (AMD) and vision loss.ObjectiveTo evaluate the effect of high-dose vitamins C and E, beta carotene, and zinc supplements on AMD progression and visual acuity.DesignThe Age-Related Eye Disease Study, an 11-center double-masked clinical trial, enrolled participants in an AMD trial if they had extensive small drusen, intermediate drusen, large drusen, noncentral geographic atrophy, or pigment abnormalities in 1 or both eyes, or advanced AMD or vision loss due to AMD in 1 eye. At least 1 eye had best-corrected visual acuity of 20/32 or better. Participants were randomly assigned to receive daily oral tablets containing:(1) antioxidants (vitamin C, 500 mg; vitamin E, 400 IU; and beta carotene, 15 mg);(2) zinc, 80 mg, as zinc oxide and copper, 2 mg, as …",Age-Related Eye Disease Study Research Group,3137,7106023568031882015,Archives of ophthalmology,10,1417,NIH Public Access,"A randomized, placebo-controlled, clinical trial of high-dose supplementation with vitamins C and E, beta carotene, and zinc for age-related macular degeneration and vision …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1462955/,119,2001,/scholar?cites=7106023568031882015,AbKd9soAAAAJ:Y9VhQm-5nPIC

1005004,"Fingolimod (FTY720), a sphingosine-1-phosphate–receptor modulator that prevents lymphocyte egress from lymph nodes, showed clinical efficacy and improvement on imaging in a phase 2 study involving patients with multiple sclerosis.In this 12-month, double-blind, double-dummy study, we randomly assigned 1292 patients with relapsing–remitting multiple sclerosis who had a recent history of at least one relapse to receive either oral fingolimod at a daily dose of either 1.25 or 0.5 mg or intramuscular interferon beta-1a (an established therapy for multiple sclerosis) at a weekly dose of 30 μg. The primary end point was the annualized relapse rate. Key secondary end points were the number of new or enlarged lesions on T2-weighted magnetic resonance imaging (MRI) scans at 12 months and progression of disability that was sustained for at least 3 months.A total of 1153 …",Jeffrey A Cohen and Frederik Barkhof and Giancarlo Comi and Hans-Peter Hartung and Bhupendra O Khatri and Xavier Montalban and Jean Pelletier and Ruggero Capra and Paolo Gallo and Guillermo Izquierdo and Klaus Tiel-Wilck and Ana De Vera and James Jin and Tracy Stites and Stacy Wu and Shreeram Aradhye and Ludwig Kappos,2282,5612854611244526270,New England Journal of Medicine,5,402-415,Massachusetts Medical Society,Oral fingolimod or intramuscular interferon for relapsing multiple sclerosis,https://www.nejm.org/doi/full/10.1056/NEJMoa0907839,362,2010,/scholar?cites=5612854611244526270,AbKd9soAAAAJ:35N4QoGY0k4C

1005005,"we studied copolymer 1 (Copaxone) in a multicenter (11-university) phase III trial of patients with relapsing-remitting multiple sclerosis (MS). Two hundred fifty-one patients were randomized to receive copolymer 1 (n = 125) or placebo (n = 126) at a dosage of 20 mg by daily subcutaneous injection for 2 years. The primary end point was a difference in the MS relapse rate. The final 2-year relapse rate was 1.19 ± 0.13 for patients receiving copolymer 1 and 1.68 ± 0.13 for those receiving placebo, a 29% reduction in favor of copolymer 1 (p = 0.007) (annualized rates = 0.59 for copolymer 1 and 0.84 for placebo). Trends in the proportion of relapse-free patients and median time to first relapse favored copolymer 1. Disability was measured by the Expanded Disability Status Scale (EDSS), using a two-neurologist (examining and treating) protocol. When the proportion of patients who improved, were unchanged, or …",KP Johnson and BR Brooks and JA Cohen and CC Ford and J Goldstein and RP Lisak and LW Myers and HS Panitch and JW Rose and RB Schiffer and T Vollmer and LP Weiner and JS Wolinsky and the Copolymer 1 Multiple Sclerosis Study Group,2257,3129158157131861802,Neurology,7,1268-1276,"Wolters Kluwer Health, Inc. on behalf of the American Academy of Neurology","Copolymer 1 reduces relapse rate and improves disability in relapsing‐remitting multiple sclerosis: results of a phase III multicenter, double‐blind, placebo‐controlled trial",https://n.neurology.org/content/45/7/1268.short,45,1995,/scholar?cites=3129158157131861802,AbKd9soAAAAJ:vV6vV6tmYwMC

1005006,"Accurate clinical course descriptions (phenotypes) of multiple sclerosis (MS) are important for communication, prognostication, design and recruitment of clinical trials, and treatment decision-making. Standardized descriptions published in 1996 based on a survey of international MS experts provided purely clinical phenotypes based on data and consensus at that time, but imaging and biological correlates were lacking. Increased understanding of MS and its pathology, coupled with general concern that the original descriptors may not adequately reflect more recently identified clinical aspects of the disease, prompted a re-examination of MS disease phenotypes by the International Advisory Committee on Clinical Trials of MS. While imaging and biological markers that might provide objective criteria for separating clinical phenotypes are lacking, we propose refined descriptors that include consideration of disease …",Fred D Lublin and Stephen C Reingold and Jeffrey A Cohen and Gary R Cutter and Per Soelberg Sørensen and Alan J Thompson and Jerry S Wolinsky and Laura J Balcer and Brenda Banwell and Frederik Barkhof and Bruce Bebo and Peter A Calabresi and Michel Clanet and Giancarlo Comi and Robert J Fox and Mark S Freedman and Andrew D Goodman and Matilde Inglese and Ludwig Kappos and Bernd C Kieseier and John A Lincoln and Catherine Lubetzki and Aaron E Miller and Xavier Montalban and Paul W O'Connor and John Petkau and Carlo Pozzilli and Richard A Rudick and Maria Pia Sormani and Olaf Stüve and Emmanuelle Waubant and Chris H Polman,1843,11880187684093963193,,3,278-286,"Wolters Kluwer Health, Inc. on behalf of the American Academy of Neurology",Defining the clinical course of multiple sclerosis: the 2013 revisions,https://n.neurology.org/content/83/3/278.short,83,2014,/scholar?cites=11880187684093963193,AbKd9soAAAAJ:zA6iFVUQeVQC

1005007,"The 2010 McDonald criteria for the diagnosis of multiple sclerosis are widely used in research and clinical practice. Scientific advances in the past 7 years suggest that they might no longer provide the most up-to-date guidance for clinicians and researchers. The International Panel on Diagnosis of Multiple Sclerosis reviewed the 2010 McDonald criteria and recommended revisions. The 2017 McDonald criteria continue to apply primarily to patients experiencing a typical clinically isolated syndrome, define what is needed to fulfil dissemination in time and space of lesions in the CNS, and stress the need for no better explanation for the presentation. The following changes were made: in patients with a typical clinically isolated syndrome and clinical or MRI demonstration of dissemination in space, the presence of CSF-specific oligoclonal bands allows a diagnosis of multiple sclerosis; symptomatic lesions can be used …",Alan J Thompson and Brenda L Banwell and Frederik Barkhof and William M Carroll and Timothy Coetzee and Giancarlo Comi and Jorge Correale and Franz Fazekas and Massimo Filippi and Mark S Freedman and Kazuo Fujihara and Steven L Galetta and Hans Peter Hartung and Ludwig Kappos and Fred D Lublin and Ruth Ann Marrie and Aaron E Miller and David H Miller and Xavier Montalban and Ellen M Mowry and Per Soelberg Sorensen and Mar Tintoré and Anthony L Traboulsee and Maria Trojano and Bernard MJ Uitdehaag and Sandra Vukusic and Emmanuelle Waubant and Brian G Weinshenker and Stephen C Reingold and Jeffrey A Cohen,1789,15857344065836722574,,2,162-173,Elsevier,Diagnosis of multiple sclerosis: 2017 revisions of the McDonald criteria,https://www.sciencedirect.com/science/article/pii/S1474442217304702,17,2018,/scholar?cites=15857344065836722574,AbKd9soAAAAJ:Cvh0bltMcLgC

1005008,"• Fatigue is a frequent symptom in multiple sclerosis (MS) that can interfere with a patient's daily functioning. The cause of MS fatigue, its clinical characteristics, and its relationship to other symptoms remain poorly understood. Structured interviews were conducted with 32 patients with MS and 33 normal healthy adults. Fatigue proved to be both more frequent and more severe among the patients with MS. Multiple sclerosis fatigue was unrelated to either depression or global impairment. Multiple sclerosis fatigue appears to be a distinct clinical entity, often disabling, that can be distinguished from normal fatigue, affective disturbance, and neurologic impairment.",Lauren B Krupp and Luis A Alvarez and Nicholas G LaRocca and Labe C Scheinberg,1019,7335475890943060484,Archives of neurology,4,435-437,American Medical Association,Fatigue in multiple sclerosis,https://jamanetwork.com/journals/jamaneurology/article-abstract/587530,45,1988,/scholar?cites=7335475890943060484,AbKd9soAAAAJ:isC4tDSrTZIC

1005009,"The anti-CD52 monoclonal antibody alemtuzumab reduces disease activity in previously untreated patients with relapsing-remitting multiple sclerosis. We aimed to assess efficacy and safety of alemtuzumab compared with interferon beta 1a in patients who have relapsed despite first-line treatment.In our 2 year, rater-masked, randomised controlled phase 3 trial, we enrolled adults aged 18–55 years with relapsing-remitting multiple sclerosis and at least one relapse on interferon beta or glatiramer. Eligible participants were randomly allocated in a 1:2:2 ratio by an interactive voice response system, stratified by site, to receive subcutaneous interferon beta 1a 44 μg, intravenous alemtuzumab 12 mg per day, or intravenous alemtuzumab 24 mg per day. Interferon beta 1a was given three-times per week and alemtuzumab was given once per day for 5 days at baseline and for 3 days at 12 months …",Alasdair J Coles and Cary L Twyman and Douglas L Arnold and Jeffrey A Cohen and Christian Confavreux and Edward J Fox and Hans-Peter Hartung and Eva Havrdova and Krzysztof W Selmaj and Howard L Weiner and Tamara Miller and Elizabeth Fisher and Rupert Sandbrink and Stephen L Lake and David H Margolin and Pedro Oyuela and Michael A Panzara and D Alastair S Compston,899,6610950806618990191,The lancet,9856,1829-1839,Elsevier,Alemtuzumab for patients with relapsing multiple sclerosis after disease-modifying therapy: a randomised controlled phase 3 trial,https://www.sciencedirect.com/science/article/pii/S0140673612617681,380,2012,/scholar?cites=6610950806618990191,AbKd9soAAAAJ:pqnbT2bcN3wC
