id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations
1016000,"The continued increase in the atmospheric concentration of carbon dioxide due to anthropogenic emissions is predicted to lead to significant changes in climate 1. About half of the current emissions are being absorbed by the ocean and by land ecosystems 2, but this absorption is sensitive to climate 3, 4 as well as to atmospheric carbon dioxide concentrations 5, creating a feedback loop. General circulation models have generally excluded the feedback between climate and the biosphere, using static vegetation distributions and CO 2 concentrations from simple carbon-cycle models that do not include climate change 6. Here we present results from a fully coupled, three-dimensional carbon–climate model, indicating that carbon-cycle feedbacks could significantly accelerate climate change over the twenty-first century. We find that under a ‘business as usual’scenario, the terrestrial biosphere acts as an overall …",Peter M Cox and Richard A Betts and Chris D Jones and Steven A Spall and Ian J Totterdell,4327,15484520333780887330,Nature,6809,184-187,Nature Publishing Group,Acceleration of global warming due to carbon-cycle feedbacks in a coupled climate model,https://www.nature.com/articles/35041539,408,2000,/scholar?cites=15484520333780887330,7S1cuNwAAAAJ:mNrWkgRL2YcC
1016001,"The Earth's climate is determined by a number of complex connected physical, chemical and biological processes occurring in the atmosphere, land and ocean. The radiative properties of the atmosphere, a major controlling factor of the Earth's climate, are strongly affected by the biophysical state of the Earth's surface and by the atmospheric abundance of a variety of trace constituents. These constituents include long-lived greenhouse gases (LLGHGs) such as carbon dioxide (CO {sub 2}), methane (CH {sub 4}) and nitrous oxide (N {sub 2} O), as well as other radiatively active constituents such as ozone and different types of aerosol particles. The composition of the atmosphere is determined by processes such as natural and anthropogenic emissions of gases and aerosols, transport at a variety of scales, chemical and microphysical transformations, wet scavenging and surface uptake by the land and terrestrial ecosystems, and by the ocean and its ecosystems. These processes and, more generally the rates of biogeochemical cycling, are affected by climate change, and involve interactions between and within the different components of the Earth system. These interactions are generally nonlinear and may produce negative or positive feedbacks to the climate system. An important aspect of climate research is to identify potential feedbacks and assess more»",Surabi Menon and Kenneth L Denman and Guy Brasseur and Amnat Chidthaisong and Philippe Ciais and Peter M Cox and Robert E Dickinson and Didier Hauglustaine and Christoph Heinze and Elisabeth Holland and Daniel Jacob and Ulrike Lohmann and Srikanthan Ramachandran and Pedro Leite da Silva Dias and Steven C Wofsy and Xiaoye Zhang,2874,8155533733388871969,,LBNL-464E,,"Lawrence Berkeley National Lab.(LBNL), Berkeley, CA (United States)",Couplings between changes in the climate system and biogeochemistry,https://www.osti.gov/biblio/934721,,2007,/scholar?cites=8155533733388871969,7S1cuNwAAAAJ:dshw04ExmUIC
1016002,"Eleven coupled climate–carbon cycle models used a common protocol to study the coupling between climate change and the carbon cycle. The models were forced by historical emissions and the Intergovernmental Panel on Climate Change (IPCC) Special Report on Emissions Scenarios (SRES) A2 anthropogenic emissions of CO2 for the 1850–2100 time period. For each model, two simulations were performed in order to isolate the impact of climate change on the land and ocean carbon cycle, and therefore the climate feedback on the atmospheric CO2 concentration growth rate. There was unanimous agreement among the models that future climate change will reduce the efficiency of the earth system to absorb the anthropogenic carbon perturbation. A larger fraction of anthropogenic CO2 will stay airborne if climate change is accounted for. By the end of the twenty-first century, this additional CO2 varied …",Pierre Friedlingstein and Peter Cox and Richard Betts and Laurent Bopp and Werner von Bloh and Victor Brovkin and Patricia Cadule and Scott Doney and Michael Eby and Inez Fung and Govindswamy Bala and J John and C Jones and Fortunat Joos and T Kato and Michio Kawamiya and Wolfgang Knorr and Keith Lindsay and HD Matthews and T Raddatz and P Rayner and C Reick and E Roeckner and K-G Schnitzler and R Schnur and K Strassmann and AJ Weaver and C u Yoshikawa and N Zeng,2838,1666230146899553459,Journal of climate,14,3337-3353,,Climate–Carbon Cycle Feedback Analysis: Results from the C4MIP Model Intercomparison,https://journals.ametsoc.org/jcli/article/19/14/3337/30907,19,2006,/scholar?cites=1666230146899553459,7S1cuNwAAAAJ:MXK_kJrjxJIC
1016003,"Previous estimates of land-atmosphere interaction (the impact of soil moisture on precipitation) have been limited by a lack of observational data and by the model dependence of computational estimates. To counter the second limitation, a dozen climate-modeling groups have recently performed the same highly controlled numerical experiment as part of a coordinated comparison project. This allows a multimodel estimation of the regions on Earth where precipitation is affected by soil moisture anomalies during Northern Hemisphere summer. Potential benefits of this estimation may include improved seasonal rainfall forecasts.",Randal D Koster and Paul A Dirmeyer and Zhichang Guo and Gordon Bonan and Edmond Chan and Peter Cox and CT Gordon and Shinjiro Kanae and Eva Kowalczyk and David Lawrence and Ping Liu and Cheng-Hsuan Lu and Sergey Malyshev and Bryant McAvaney and Ken Mitchell and David Mocko and Taikan Oki and Keith Oleson and Andrew Pitman and YC Sud and Christopher M Taylor and Diana Verseghy and Ratko Vasic and Yongkang Xue and Tomohito Yamada,2224,10037106986019718388,Science,5687,1138-1140,American Association for the Advancement of Science,Regions of strong coupling between soil moisture and precipitation,https://science.sciencemag.org/content/305/5687/1138.abstract,305,2004,/scholar?cites=10037106986019718388,7S1cuNwAAAAJ:4fKUyHm3Qg0C
1016004,"The possible responses of ecosystem processes to rising atmospheric CO2 concentration and climate change are illustrated using six dynamic global vegetation models that explicitly represent the interactions of ecosystem carbon and water exchanges with vegetation dynamics. The models are driven by the IPCC IS92a scenario of rising CO2 (Wigley et al. 1991), and by climate changes resulting from effective CO2 concentrations corresponding to IS92a, simulated by the coupled ocean atmosphere model HadCM2‐SUL. Simulations with changing CO2 alone show a widely distributed terrestrial carbon sink of 1.4–3.8 Pg C y−1 during the 1990s, rising to 3.7–8.6 Pg C y−1 a century later. Simulations including climate change show a reduced sink both today (0.6–3.0 Pg C y−1) and a century later (0.3–6.6 Pg C y−1) as a result of the impacts of climate change on NEP of tropical and southern hemisphere …",Wolfgang Cramer and Alberte Bondeau and F Ian Woodward and I Colin Prentice and Richard A Betts and Victor Brovkin and Peter M Cox and Veronica Fisher and Jonathan A Foley and Andrew D Friend and Chris Kucharik and Mark R Lomas and Navin Ramankutty and Stephen Sitch and Benjamin Smith and Andrew White and Christine Young‐Molling,2105,13289117245685237449,Global change biology,4,357-373,Blackwell Science Ltd,Global response of terrestrial ecosystem structure and function to CO2 and climate change: results from six dynamic global vegetation models,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2486.2001.00383.x,7,2001,/scholar?cites=13289117245685237449,7S1cuNwAAAAJ:LjlpjdlvIbIC
1016005,"Climate models have continued to be developed and improved since the AR4, and many models have been extended into Earth System models by including the representation of biogeochemical cycles important to climate change. These models allow for policy-relevant calculations such as the carbon dioxide (CO2) emissions compatible with a specified climate stabilization target. In addition, the range of climate variables and processes that have been evaluated has greatly expanded, and differences between models and observations are increasingly quantified using ‘performance metrics’. In this chapter, model evaluation covers simulation of the mean climate, of historical climate change, of variability on multiple time scales and of regional modes of variability. This evaluation is based on recent internationally coordinated model experiments, including simulations of historic and paleo climate, specialized experiments designed to provide insight into key climate processes and feedbacks and regional climate downscaling. Figure 9.44 provides an overview of model capabilities as assessed in this chapter, including improvements, or lack thereof, relative to models assessed in the AR4. The chapter concludes with an assessment of recent work connecting model performance to the detection and attribution of climate change as well as to future projections.{9.1. 2, 9.8. 1, Table 9.1, Figure 9.44}",Gregory Flato and Jochem Marotzke and Babatunde Abiodun and Pascale Braconnot and S Chan Chou and William Collins and Peter Cox and Fatima Driouech and Seita Emori and Veronika Eyring and Chris Forest and Peter Gleckler and Eric Guilyardi and Christian Jakob and Vladimir Kattsov and Chris Reason and Markku Rummukainen,2052,6766149182177097103,,,741-866,Cambridge University Press,Evaluation of climate models,https://pure.mpg.de/rest/items/item_1977534/component/file_3040450/content,,2014,/scholar?cites=6766149182177097103,7S1cuNwAAAAJ:BUYA1_V_uYcC
1016006,"The 2015 Lancet Commission on Health and Climate Change has been formed to map out the impacts of climate change, and the necessary policy responses, in order to ensure the highest attainable standards of health for populations worldwide. This Commission is multidisciplinary and international in nature, with strong collaboration between academic centres in Europe and China.",Nick Watts and W Neil Adger and Paolo Agnolucci and Jason Blackstock and Peter Byass and Wenjia Cai and Sarah Chaytor and Tim Colbourn and Mat Collins and Adam Cooper and Peter M Cox and Joanna Depledge and Paul Drummond and Paul Ekins and Victor Galaz and Delia Grace and Hilary Graham and Michael Grubb and Andy Haines and Ian Hamilton and Alasdair Hunter and Xujia Jiang and Moxuan Li and Ilan Kelman and Lu Liang and Melissa Lott and Robert Lowe and Yong Luo and Georgina Mace and Mark Maslin and Maria Nilsson and Tadj Oreszczyn and Steve Pye and Tara Quinn and My Svensdotter and Sergey Venevsky and Koko Warner and Bing Xu and Jun Yang and Yongyuan Yin and Chaoqing Yu and Qiang Zhang and Peng Gong and Hugh Montgomery and Anthony Costello,1184,15648596591375677695,The Lancet,10006,1861-1914,Elsevier,Health and climate change: policy responses to protect public health,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)60854-6/fulltext?referrer=justicewire,386,2015,/scholar?cites=15648596591375677695,7S1cuNwAAAAJ:evX43VCCuoAC
1016007,"This study tests the ability of five Dynamic Global Vegetation Models (DGVMs), forced with observed climatology and atmospheric CO2, to model the contemporary global carbon cycle. The DGVMs are also coupled to a fast ‘climate analogue model’, based on the Hadley Centre General Circulation Model (GCM), and run into the future for four Special Report Emission Scenarios (SRES): A1FI, A2, B1, B2. Results show that all DGVMs are consistent with the contemporary global land carbon budget. Under the more extreme projections of future environmental change, the responses of the DGVMs diverge markedly. In particular, large uncertainties are associated with the response of tropical vegetation to drought and boreal ecosystems to elevated temperatures and changing soil moisture status. The DGVMs show more divergence in their response to regional changes in climate than to increases in atmospheric CO2 …",Stephen Sitch and C Huntingford and N Gedney and PE Levy and M Lomas and SL Piao and R Betts and P Ciais and Peter Cox and P Friedlingstein and CD Jones and IC Prentice and FI Woodward,1094,18059013563028018165,Global Change Biology,9,2015-2039,Blackwell Publishing Ltd,"Evaluation of the terrestrial carbon cycle, future plant geography and climate‐carbon cycle feedbacks using five Dynamic Global Vegetation Models (DGVMs)",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2008.01626.x,14,2008,/scholar?cites=18059013563028018165,7S1cuNwAAAAJ:KUbvn5osdkgC
1016008," Recent improvements to the Hadley Centre climate model include the introduction of a new land surface scheme called “MOSES” (Met Office Surface Exchange Scheme). MOSES is built on the previous scheme, but incorporates in addition an interactive plant photosynthesis and conductance module, and a new soil thermodynamics scheme which simulates the freezing and melting of soil water, and takes account of the dependence of soil thermal characteristics on the frozen and unfrozen components. The impact of these new features is demonstrated by comparing 1×CO2 and 2×CO2 climate simulations carried out using the old (UKMO) and new (MOSES) land surface schemes. MOSES is found to improve the simulation of current climate. Soil water freezing tends to warm the high-latitude land in the northern Hemisphere during autumn and winter, whilst the increased soil water availability in MOSES …",PM Cox and RA Betts and CB Bunton and RLH Essery and PR Rowntree and J Smith,940,6054820356984768021,Climate Dynamics,3,183-203,Springer-Verlag,The impact of new land surface physics on the GCM simulation of climate and climate sensitivity,https://link.springer.com/article/10.1007/s003820050276,15,1999,/scholar?cites=6054820356984768021,7S1cuNwAAAAJ:ldfaerwXgEUC
1016009,"The first GCM climate change projections to include dynamic vegetation and an interactive carbon cycle produced a very significant amplification of global warming over the 21st century. Under the IS92a “business as usual” emissions scenario CO2 concentrations reached about 980 ppmv by 2100, which is about 280 ppmv higher than when these feedbacks were ignored. The major contribution to the increased CO2 arose from reductions in soil carbon because global warming is assumed to accelerate respiration. However, there was also a lesser contribution from an alarming loss of the Amazonian rainforest. This paper describes the phenomenon of Amazonian forest dieback under elevated CO2 in the Hadley Centre climate-carbon cycle model.",Peter M Cox and RA Betts and Matthew Collins and Phil P Harris and Chris Huntingford and CD Jones,900,12047289275391855575,Theoretical and applied climatology,1-3,137-156,Springer-Verlag,Amazonian forest dieback under climate-carbon cycle projections for the 21st century,https://link.springer.com/article/10.1007/s00704-004-0049-4,78,2004,/scholar?cites=12047289275391855575,7S1cuNwAAAAJ:eMMeJKvmdy0C
