id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations
1028000,"Phagocyte-mediated oxidant damage to vascular endothelium is likely involved in various vasculopathies including atherosclerosis and pulmonary leak syndromes such as adult respiratory distress syndrome. We have shown that heme, a hydrophobic iron chelate, is rapidly incorporated into endothelial cells where, after as little as 1 h, it markedly aggravates cytotoxicity engendered by polymorphonuclear leukocyte oxidants or hydrogen peroxide (H2O2). In contrast, however, if cultured endothelial cells are briefly pulsed with heme and then allowed to incubate for a prolonged period (16 h), the cells become highly resistant to oxidant-mediated injury and to the accumulation of endothelial lipid peroxidation products. This protection is associated with the induction within 4 h of mRNAs for both heme oxygenase and ferritin. After 16 h heme oxygenase and ferritin have increased approximately 50-fold and 10-fold …",Gyorgy Balla and Harry S Jacob and Jozsef Balla and Mark Rosenberg and Karl Nath and Fred Apple and John W Eaton and Gregory M Vercellotti,1284,9189737118699607581,Journal of Biological Chemistry,25,18148-18153,American Society for Biochemistry and Molecular Biology,Ferritin: a cytoprotective antioxidant strategem of endothelium.,https://www.jbc.org/content/267/25/18148.short,267,1992,/scholar?cites=9189737118699607581,ePh3FuQAAAAJ:u5HHmVD_uO8C
1028001,"The acute inflammatory response is frequently accompanied by serious thrombotic events. We show that C-reactive protein (CRP), an acute- phase reactant that markedly increases its serum concentration in response to inflammatory stimuli, induced monocytes to express tissue factor (TF), a potent procoagulant. Purified human CRP in concentrations commonly achieved in vivo during inflammation (10 to 100 micrograms/mL) induced a 75-fold increase in TF procoagulant activity (PCA) of human peripheral blood mononuclear cells (PBM), with a parallel increase in TF antigen levels. CRP-induced PCA was completely blocked by a monoclonal antibody against human TF but not by irrelevant murine IgG. Dot blot analysis showed a significant increase of TF mRNA after 4 hours of incubation with CRP, followed by a peak of PCA within 6 and 8 hours. Actinomycin D and cycloheximide blocked CRP-stimulated …",Jaroslav Cermak and Nigel S Key and Ronald R Bach and Jozsef Balla and Harry S Jacob and Gregory M Vercellotti,1179,14163009655272340924,,2,513-520,,C-reactive protein induces human peripheral blood monocytes to synthesize tissue factor,https://ashpublications.org/blood/article-abstract/82/2/513/48568,82,1993,/scholar?cites=14163009655272340924,ePh3FuQAAAAJ:u-x6o8ySG0sC
1028002,"Heme proteins such as myoglobin or hemoglobin, when released into the extracellular space, can instigate tissue toxicity. Myoglobin is directly implicated in the pathogenesis of renal failure in rhabdomyolysis. In the glycerol model of this syndrome, we demonstrate that the kidney responds to such inordinate amounts of heme proteins by inducing the heme-degradative enzyme, heme oxygenase, as well as increasing the synthesis of ferritin, the major cellular repository for iron. Prior recruitment of this response with a single preinfusion of hemoglobin prevents kidney failure and drastically reduces mortality (from 100% to 14%). Conversely, ablating this response with a competitive inhibitor of heme oxygenase exacerbates kidney dysfunction. We provide the first in vivo evidence that induction of heme oxygenase coupled to ferritin synthesis is a rapid, protective antioxidant response. Our findings suggest a therapeutic …",Karl A Nath and Gyorgy Balla and Gregory M Vercellotti and Jozsef Balla and Harry S Jacob and MichaelD Levitt and Mark E Rosenberg,771,3486756926822089519,The Journal of clinical investigation,1,267-270,American Society for Clinical Investigation,"Induction of heme oxygenase is a rapid, protective response in rhabdomyolysis in the rat.",https://www.jci.org/articles/view/115847,90,1992,/scholar?cites=3486756926822089519,ePh3FuQAAAAJ:d1gkVwhDpl0C
1028003,"Numerous pathologies may involve toxic side effects of free heme and heme-derived iron. Deficiency of the heme-catabolizing enzyme, heme oxygenase-1 (HO-1), in both a human patient and transgenic knockout mice leads to an abundance of circulating heme and damage to vascular endothelium. Although heme can be directly cytotoxic, the present investigations examine the possibility that hemoglobin-derived heme and iron might be indirectly toxic through the generation of oxidized forms of low-density lipoprotein (LDL). In support, hemoglobin in plasma, when oxidized to methemoglobin by oxidants such as leukocyte-derived reactive oxygen, causes oxidative modification of LDL. Heme, released from methemoglobin, catalyzes the oxidation of LDL, which in turn induces endothelial cytolysis primarily caused by lipid hydroperoxides. Exposure of endothelium to sublethal concentrations of this oxidized …",Viktória Jeney and József Balla and Akihiro Yachie and Zsuzsa Varga and Gregory M Vercellotti and John W Eaton and György Balla,642,8653668473888364901,"Blood, The Journal of the American Society of Hematology",3,879-887,American Society of Hematology,Pro-oxidant and cytotoxic effects of circulating heme,https://ashpublications.org/blood/article-abstract/100/3/879/16413,100,2002,/scholar?cites=8653668473888364901,ePh3FuQAAAAJ:qjMakFHDy7sC
1028004,"Iron-derived reactive oxygen species are implicated in the pathogenesis of various vascular disorders including atherosclerosis, vasculitis, and reperfusion injury. The present studies examine whether heme, when liganded to physiologically relevant proteins as in hemoglobin, can provide potentially damaging iron to intact endothelium. We demonstrate that reduced ferrohemoglobin, while relatively innocuous to cultured endothelial cells, when oxidized to ferrihemoglobin (methemoglobin), greatly amplifies oxidant (H2O2)-mediated endothelial-cell injury. Drawing upon our previous observation that free heme similarly primes endothelium for oxidant damage, we posited that methemoglobin, but not ferrohemoglobin, releases its hemes that can then be incorporated into endothelial cells. In support, cultured endothelial cells exposed to methemoglobin--in contrast to exposure to ferrohemoglobin, cytochrome c, or …",Jozsef Balla and Harry S Jacob and Gyorgy Balla and Karl Nath and John W Eaton and Gregory M Vercellotti,637,14518722631012058775,Proceedings of the National Academy of Sciences,20,9285-9289,National Academy of Sciences,Endothelial-cell heme uptake from heme proteins: induction of sensitization and desensitization to oxidant damage,https://www.pnas.org/content/90/20/9285.short,90,1993,/scholar?cites=14518722631012058775,ePh3FuQAAAAJ:9yKSN-GCB0IC
1028005,"Mouse-to-rat cardiac transplants survive long term after transient complement depletion by cobra venom factor and T cell immunosuppression by cyclosporin A. Expression of heme oxygenase-1 (HO-1) by the graft vasculature is critical to achieve graft survival. In the present study, we asked whether this protective effect was attributable to the generation of one of the catabolic products of HO-1, carbon monoxide (CO). Our present data suggests that this is the case. Under the same immunosuppressive regimen that allows mouse-to-rat cardiac transplants to survive long term (i.e., cobra venom factor plus cyclosporin A), inhibition of HO-1 activity by tin protoporphyrin, caused graft rejection in 3–7 days. Rejection was associated with widespread platelet sequestration, thrombosis of coronary arterioles, myocardial infarction, and apoptosis of endothelial cells as well as cardiac myocytes. Under inhibition of HO-1 activity …",Koichiro Sato and Jozsef Balla and Leo Otterbein and R Neal Smith and Sophie Brouard and Yuan Lin and Eva Csizmadia and Jean Sevigny and Simon C Robson and Gregory Vercellotti and Augustine M Choi and Fritz H Bach and Miguel P Soares,563,3005088839012454152,The Journal of Immunology,6,4185-4194,American Association of Immunologists,Carbon monoxide generated by heme oxygenase-1 suppresses the rejection of mouse-to-rat cardiac transplants,https://www.jimmunol.org/content/166/6/4185.short,166,2001,/scholar?cites=3005088839012454152,ePh3FuQAAAAJ:2osOgNQ5qMEC
1028006,"Cerebral malaria claims more than 1 million lives per year. We report that heme oxygenase-1 (HO-1, encoded by Hmox1) prevents the development of experimental cerebral malaria (ECM). BALB/c mice infected with Plasmodium berghei ANKA upregulated HO-1 expression and activity and did not develop ECM. Deletion of Hmox1 and inhibition of HO activity increased ECM incidence to 83% and 78%, respectively. HO-1 upregulation was lower in infected C57BL/6 compared to BALB/c mice, and all infected C57BL/6 mice developed ECM (100% incidence). Pharmacological induction of HO-1 and exposure to the end-product of HO-1 activity, carbon monoxide (CO), reduced ECM incidence in C57BL/6 mice to 10% and 0%, respectively. Whereas neither HO-1 nor CO affected parasitemia, both prevented blood-brain barrier (BBB) disruption, brain microvasculature congestion and neuroinflammation, including CD8 …",Ana Pamplona and Ana Ferreira and József Balla and Viktória Jeney and György Balla and Sabrina Epiphanio and Ângelo Chora and Cristina D Rodrigues and Isabel Pombo Gregoire and Margarida Cunha-Rodrigues and Silvia Portugal and Miguel P Soares and Maria M Mota,514,7925738715619133788,Nature medicine,6,703-710,Nature Publishing Group,Heme oxygenase-1 and carbon monoxide suppress the pathogenesis of experimental cerebral malaria,https://www.nature.com/articles/nm1586,13,2007,/scholar?cites=7925738715619133788,ePh3FuQAAAAJ:IjCSPb-OGe4C
1028007,"Induction of heme oxygenase in toxic renal injury: A protective role in cisplatin nephrotoxicity in the rat. Cellular content of heme is regulated by heme oxygenase, the rate limiting enzyme in the degradation of heme. Induction of heme oxygenase is a protective response in an in vivo model of heme protein mediated renal injury, the glycerol model of acute renal failure. In addition to heme, heme oxygenase is induced by diverse forms of oxidative stress, the functional significance of which is currently unknown. We examined whether heme oxygenase is induced, and the functional significance of such induction, in two in vivo models of oxidant-induced toxic nephropathy, namely, cisplatin and gentamicin nephropathies; nephrotoxicity in these models is not dependent on the delivery of a burden of heme proteins to the kidney as occurs in the glycerol model. We demonstrate induction of heme oxygenase mRNA and …",Anupam Agarwal and József Balla and Jawed Alam and Anthony J Croatt and Karl A Nath,281,3295393398227955708,Kidney international,4,1298-1307,Elsevier,Induction of heme oxygenase in toxic renal injury: a protective role in cisplatin nephrotoxicity in the rat,https://www.sciencedirect.com/science/article/pii/S0085253815591862,48,1995,/scholar?cites=3295393398227955708,ePh3FuQAAAAJ:UeHWp8X0CEIC
1028008,"Background and Purpose— Several factors have been held responsible for the development of atherosclerosis. To avoid the masking effect of age, we evaluated correlates of carotid atherosclerosis in patients <55 years of age.Methods— Plasma lipids, oxidative resistance of low-density lipoprotein, homocysteine, inflammatory markers, plasma viscosity, and red cell deformability were measured in fasting blood samples of 100 subjects: 45 patients with >30% stenosis of the internal carotid artery, 20 patients with carotid occlusion, and 35 control subjects. Stenosis and intima-media thickness (IMT) of the carotid artery were evaluated by duplex ultrasound.Results— White blood cell (WBC) count, plasma fibrinogen, C-reactive protein (CRP), and lipoprotein(a) levels were significantly higher in patients than in control subjects, and patients had increased IMT (P<0.01 for all comparisons). There was a tendency …",Mária T Magyar and Zita Szikszai and József Balla and Attila Valikovics and János Kappelmayer and Sándor Imre and György Balla and Viktória Jeney and László Csiba and Dániel Bereczki,212,14112406405287984832,Stroke,1,58-63,Lippincott Williams & Wilkins,Early-onset carotid atherosclerosis is associated with increased intima-media thickness and elevated serum levels of inflammatory markers,https://www.ahajournals.org/doi/abs/10.1161/01.str.0000048845.83285.ac,34,2003,/scholar?cites=14112406405287984832,ePh3FuQAAAAJ:zYLM7Y9cAGgC
1028009,"Heme is an essential molecule in aerobic organisms. Heme consists of protoporphyrin IX and a ferrous (Fe2+) iron atom, which has high affinity for oxygen (O2). Hemoglobin, the major oxygen-carrying protein in blood, is the most abundant heme-protein in animals and humans. Hemoglobin consists of four globin subunits (α2β2), with each subunit carrying a heme group. Ferrous (Fe2+) hemoglobin is easily oxidized in circulation to ferric (Fe3+) hemoglobin, which readily releases free hemin. Hemin is hydrophobic and intercalates into cell membranes. Hydrogen peroxide can split the heme ring and release “free” redox-active iron, which catalytically amplifies the production of reactive oxygen species. These oxidants can oxidize lipids, proteins, and DNA; activate cell-signaling pathways and oxidant-sensitive, proinflammatory transcription factors; alter protein expression; perturb membrane channels; and induce …",John D Belcher and Joan D Beckman and Gyorgy Balla and Jozsef Balla and Gregory Vercellotti,211,14705562892873692809,,2,233-248,"Mary Ann Liebert, Inc.",Heme degradation and vascular injury,https://www.liebertpub.com/doi/abs/10.1089/ars.2009.2822,12,2010,/scholar?cites=14705562892873692809,ePh3FuQAAAAJ:4TOpqqG69KYC
