id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations

1007000,"We describe a new molecular approach to analyzing the genetic diversity of complex microbial populations. This technique is based on the separation of polymerase chain reaction-amplified fragments of genes coding for 16S rRNA, all the same length, by denaturing gradient gel electrophoresis (DGGE). DGGE analysis of different microbial communities demonstrated the presence of up to 10 distinguishable bands in the separation pattern, which were most likely derived from as many different species constituting these populations, and thereby generated a DGGE profile of the populations. We showed that it is possible to identify constituents which represent only 1% of the total population. With an oligonucleotide probe specific for the V3 region of 16S rRNA of sulfate-reducing bacteria, particular DNA fragments from some of the microbial populations could be identified by hybridization analysis. Analysis of the …",Gerard Muyzer and Ellen C De Waal and Andre G Uitterlinden,13366,15886838073390486212,Applied and environmental microbiology,3,695-700,American Society for Microbiology,Profiling of complex microbial populations by denaturing gradient gel electrophoresis analysis of polymerase chain reaction-amplified genes coding for 16S rRNA.,https://aem.asm.org/content/59/3/695.short,59,1993,/scholar?cites=15886838073390486212,WQdUeIgAAAAJ:u5HHmVD_uO8C

1007001,"Here, the state of the art of the application of denaturing gradient gel electrophoresis (DGGE) and temperature gradient gel electrophoresis (TGGE) in microbial ecology will be presented. Furthermore, the potentials and limitations of these techniques will be discussed, and it will be indicated why their use in ecological studies has become so important.",Gerard Muyzer and Kornelia Smalla,2770,6151264591035111131,Antonie van Leeuwenhoek,1,127-141,Kluwer Academic Publishers,Application of denaturing gradient gel electrophoresis (DGGE) and temperature gradient gel electrophoresis (TGGE) in microbial ecology,https://link.springer.com/article/10.1023/A:1000669317571,73,1998,/scholar?cites=6151264591035111131,WQdUeIgAAAAJ:u-x6o8ySG0sC

1007002,"With the increased use of chemical fertilizers in agriculture, many densely populated countries face environmental problems associated with high ammonia emissions. The process of anaerobic ammonia oxidation (‘anammox’) is one of the most innovative technological advances in the removal of ammonia nitrogen from waste water 1, 2. This new process combines ammonia and nitrite directly into dinitrogen gas 3. Until now, bacteria capable of anaerobically oxidizing ammonia had never been found and were known as “lithotrophs missing from nature” 4. Here we report the discovery of this missing lithotroph and its identification as a new, autotrophic member of the order Planctomycetales, one of the major distinct divisions of the Bacteria 5. The new planctomycete grows extremely slowly, dividing only once every two weeks. At present, it cannot be cultivated by conventional microbiological techniques. The …",Marc Strous and John A Fuerst and Evelien HM Kramer and Susanne Logemann and Gerard Muyzer and Katinka T Van de Pas-Schoonen and Richard Webb and J Gijs Kuenen and Mike SM Jetten,1691,2281475419317237125,Nature,6743,446-449,Nature Publishing Group,Missing lithotroph identified as new planctomycete,https://www.nature.com/articles/22749/,400,1999,/scholar?cites=2281475419317237125,WQdUeIgAAAAJ:9yKSN-GCB0IC

1007003,"Sulphate-reducing bacteria (SRB) are anaerobic microorganisms that use sulphate as a terminal electron acceptor in, for example, the degradation of organic compounds. They are ubiquitous in anoxic habitats, where they have an important role in both the sulphur and carbon cycles. SRB can cause a serious problem for industries, such as the offshore oil industry, because of the production of sulphide, which is highly reactive, corrosive and toxic. However, these organisms can also be beneficial by removing sulphate and heavy metals from waste streams. Although SRB have been studied for more than a century, it is only with the recent emergence of new molecular biological and genomic techniques that we have begun to obtain detailed information on their way of life.",Gerard Muyzer and Alfons JM Stams,1603,1929792088111282114,Nature reviews microbiology,6,441-454,Nature publishing group,The ecology and biotechnology of sulphate-reducing bacteria,https://www.nature.com/articles/nrmicro1892,6,2008,/scholar?cites=1929792088111282114,WQdUeIgAAAAJ:UebtZRa9Y70C

1007004,"We developed and tested a set of oligonucleotide primers for the specific amplification of 16S rRNA gene segments from cyanobacteria and plastids by PCR. PCR products were recovered from all cultures of cyanobacteria and diatoms that were checked but not from other bacteria and archaea. Gene segments selectively retrieved from cyanobacteria and diatoms in unialgal but nonaxenic cultures and from cyanobionts in lichens could be directly sequenced. In the context of growing sequence databases, this procedure allows rapid and phylogenetically meaningful identification without pure cultures or molecular cloning. We demonstrate the use of this specific PCR in combination with denaturing gradient gel electrophoresis to probe the diversity of oxygenic phototrophic microorganisms in cultures, lichens, and complex microbial communities.",Ulrich Nübel and Ferran Garcia-Pichel and Gerard Muyzer,1468,16366720669306789280,Applied and environmental microbiology,8,3327-3332,American Society for Microbiology,PCR primers to amplify 16S rRNA genes from cyanobacteria.,https://aem.asm.org/content/63/8/3327.short,63,1997,/scholar?cites=16366720669306789280,WQdUeIgAAAAJ:UeHWp8X0CEIC

1007005,Five years after the introduction of denaturing gradient gel electrophoresis (DGGE) and temperature gradient gel electrophoresis (TGGE) in environmental microbiology these techniques are now routinely used in many microbiological laboratories worldwide as molecular tools to compare the diversity of microbial communities and to monitor population dynamics. Recent advances in these techniques have demonstrated their importance in microbial ecology.,Gerard Muyzer,1274,7626642812549568965,Current opinion in microbiology,3,317-322,Elsevier Current Trends,DGGE/TGGE a method for identifying genes from natural ecosystems,https://www.sciencedirect.com/science/article/pii/S1369527499800551,2,1999,/scholar?cites=7626642812549568965,WQdUeIgAAAAJ:d1gkVwhDpl0C

