id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations
1027000,"The spectacular growth of the Internet and its widespread adoption by worldwide corporations lead to an enormous quantity of heterogeneous, distributed and autonomous data sources. To facilitate the access to these huge amounts of data and make these sources interoperable, two technologies may be combined: data warehousing and ontologies. Data warehouses are designed to aggregate data and allow decision makers in these companies to obtain accurate, complete and up to date information. In the past decade, Data Warehouse Technology (DWT) has been successfully applied in several domains such as telecommunication, retail, finance and many other industries. It supports a wide range of applications throughout the enterprise. The DWT has been largely used to offer sustainable solutions for enterprises. On the other hand, ontologies are models for specifying the semantics of concepts used by …",Khouri Selma and Boukhari IlyèS and Bellatreche Ladjel and Sardet Eric and Jean Stéphane and Baron Michael,81,10089639127746876216,Computers in industry,8,799-812,Elsevier,"Ontology-based structured web data warehouses for sustainable interoperability: requirement modeling, design methodology and tool",https://www.sciencedirect.com/science/article/pii/S0166361512001200,63,2012,/scholar?cites=10089639127746876216,jTWw55gAAAAJ:kNdYIx-mwKoC
1027001,"In last decades, semantic databases () emerge and become operational databases, since the major vendors provide semantic supports in their products. This is mainly due to the spectacular development of ontologies in several domains like E-commerce, Engineering, Medicine, etc. Contrary to a traditional database, where its tuples are stored in a relational (table) layout, a  stores independently ontology and its instances in one of the three main storage layouts (horizontal, vertical, binary). Based on this situation,  become serious candidates for business intelligence projects built around the Data Warehouse () technology. The important steps of the  development life-cycle (user requirement analysis, conceptual design, logical design, ETL, physical design) are usually dealt in isolation way. This is mainly due to the complexity of each phase. Actually, the  technology is quite mature for the …",Ladjel Bellatreche and Selma Khouri and Nabila Berkani,46,11762294510654540144,,,64-83,"Springer, Berlin, Heidelberg",Semantic data warehouse design: From etl to deployment a la carte,https://link.springer.com/chapter/10.1007/978-3-642-37450-0_5,,2013,/scholar?cites=11762294510654540144,jTWw55gAAAAJ:u-x6o8ySG0sC
1027002,"Ontologies become more popular in various domains. In database, they contribute largely in designing operational databases, that we call ontology-based databases (OBDB). An OBDB stores ontology and their instances in the same repository. Several DBMS propose solutions to manipulate and query this type of databases. As consequence, these operational OBDB become a candidate to feed data warehouses (DW). In this paper, we propose a new conceptual design methodology of DW from data residing in various OBDB that takes into account sources and decision maker requirements. As the result, a semantic DW model is generated. The presence of ontology within a DW facilitates its querying in semantic level and its future integration with other DW built using our methodology. Finally, we present a case tool, called S 2 RWC, supporting our proposal.",Selma Khouri and Bellatreche Ladjel,34,7143008489641107692,,,19-24,,A methodology and tool for conceptual designing a data warehouse from ontology-based sources,https://dl.acm.org/doi/abs/10.1145/1871940.1871946,,2010,/scholar?cites=7143008489641107692,jTWw55gAAAAJ:u5HHmVD_uO8C
1027003,"The data warehouse technology has become the incontestable tool for businesses and organizations to make strategic decisions to ensure their competitively. The construction of a data warehouse () passes by selecting relevant information sources, extracting relevant data and loading them into the . These processes require a precise expertise from designers related to logical and physical implementations of information sources, which is not usually an easy task. The diversity and heterogeneity of information sources makes the construction process of the  complex and time consuming. Domain ontologies have been proposed to reduce heterogeneity between sources, platforms, services, etc. They resolve syntax and semantic conflicts. The phenomenon of adopting domain ontologies by organizations creates a new type of databases, called semantic databases (). As a consequence, they become a …",Nabila Berkani and Ladjel Bellatreche and Selma Khouri,33,18435484052280296913,Cluster computing,4,915-931,Springer US,Towards a conceptualization of ETL and physical storage of semantic data warehouses as a service,https://link.springer.com/content/pdf/10.1007/s10586-013-0266-7.pdf,16,2013,/scholar?cites=18435484052280296913,jTWw55gAAAAJ:9yKSN-GCB0IC
1027004,"In the past decades, data warehouse (DW) applications were built from traditional data sources. The availability of domain ontologies creates the opportunity for sources to explicit their semantics and to exploit them in many applications, including in data warehousing. In this paper, we present DWOBS, a case tool for ontological-based DW design based on domain ontologies. It takes as inputs (i) a set of sources referencing OWL ontology and (ii) a set of decisional requirements formulated using Sparql syntax on that ontology. DWOBS gives a semantic multidimensional model of the DW to be designed.",Selma Khouri and Ladjel Bellatreche,21,920494810685694024,,,438-441,"Springer, Berlin, Heidelberg",DWOBS: data warehouse design from ontology-based sources,https://link.springer.com/chapter/10.1007/978-3-642-20152-3_34,,2011,/scholar?cites=920494810685694024,jTWw55gAAAAJ:d1gkVwhDpl0C
1027005,"Data warehouses () are defined as data integration systems constructed from a set of heterogeneous sources and user’s requirements. Heterogeneity is due to syntactic and semantic conflicts occurring between used concepts. Existing  design methods associate heterogeneity only to data sources. We claim in this paper that heterogeneity is also associated to users’ requirements. Actually, requirements are collected from heterogeneous target users, which can cause semantic conflicts between concepts expressed. Besides, requirements can be analyzed by heterogeneous designers having different design skills, which can cause formalism heterogeneity. Integration is the process that manages heterogeneity in  design. Ontologies are recognized as the key solution for ensuring an automatic integration process. We propose to extend the use of ontologies to resolve conflicts between requirements. A …",Selma Khouri and Ladjel Bellatreche and Stéphane Jean and Yamine Ait-Ameur,18,2603135895566196760,,,588-603,"Springer, Berlin, Heidelberg",Requirements driven data warehouse design: We can go further,https://link.springer.com/chapter/10.1007/978-3-662-45231-8_49,,2014,/scholar?cites=2603135895566196760,jTWw55gAAAAJ:qjMakFHDy7sC
1027006,"Actually, any company needs to collaborate with others to improve their performance and productivity. Ontologies can provide a way to promote collaboration between companies. They contribute on reducing the syntax and semantic conflicts that may occur during the collaboration process. Data warehouse technology is a serious candidate for data-sharing architecture that may be employed within the collaborating companies. The spectacular adoption of domain ontologies by several communities facilitates the explosion of semantic databases sources (SDB) that become candidate for building the semantic data warehouses (SDW). This situation motivates us to deeply formalize the structure of semantic sources in order to propose an automatic construction of a semantic data warehouse SDW. In this paper, we first proposed a generic framework for handling semantic sources. Secondly, the generic ETL steps are …",Nabila Berkani and Selma Khouri and Ladjel Bellatreche,16,1279123874711743974,,,404-411,IEEE,Generic methodology for semantic data warehouse design: From schema definition to etl,https://ieeexplore.ieee.org/abstract/document/6337951/,,2012,/scholar?cites=1279123874711743974,jTWw55gAAAAJ:2osOgNQ5qMEC
1027007,"Les ED deviennent des composants incontournables dans les entreprises et les organisations.Le thème de conception des ED a fait l’objet de recherches actives ces dernières années. Laprincipale limitation des approches proposées est le manque d’une vision globale s’inscrivantdans le cadre du cycle de conception des ED, même si la communauté reconnait toutes lesphases de ce cycle. Nos principales contributions dans cette thèse portent sur la proposition d’uneméthode de conception adaptée aux récentes évolutions qu’a connu le cycle de conception, etenglobant l’ensemble de ses phases. Le cycle de conception a connu une diversification importantedes modèles de stockage de données et des architectures de déploiement possibles offrant deschoix de conception variés. Ce cycle reconnait l’importance des besoins des utilisateurs dansle processus de conception, et l’importance d’accès et de représentation de la sémantique desdonnées. Notre première proposition présente une méthode de conception suivant une approcheà base d’ontologies de domaine, permettant de valoriser les besoins des utilisateurs en leur offrantune vue persistante au sein de l’ED. Cette vue permet d’anticiper diverses tâches de conceptionet de simuler les différents choix de conception. Notre deuxième proposition revisite le cycle deconception en exécutant la phase ETL (extraction-transformation-chargement des données) dèsla phase conceptuelle. Cette proposition permet de fournir un moyen de déploiement multiplesur différentes plateformes disponibles.",Selma Khouri,15,8851075509863330534,,,,,Cycle de vie sémantique de conception de systèmes de stockage et manipulation de données,https://tel.archives-ouvertes.fr/tel-00926657/,,2013,/scholar?cites=8851075509863330534,jTWw55gAAAAJ:UeHWp8X0CEIC
1027008,"Dealing with contextualized data is a key challenge in data warehouses (). Nowadays,  systems are often monocontext. However, in real life applications,  indicators are shared by many users with different profiles. In this paper, we propose an ontology-based approach for designing multi-contextual . An ontology formalism incorporating the contextualization concepts is given. We propose to consider the contextualization at the conceptual level. We validate our proposal using a real case study from the medical domain.",Selma Khouri and Lama El Saraj and Ladjel Bellatreche and Bernard Espinasse and Nabila Berkani and Sophie Rodier and Thérèse Libourel,11,4358404854163458157,,,458-465,"Springer, Berlin, Heidelberg",Cidhouse: Contextual semantic data warehouses,https://link.springer.com/chapter/10.1007/978-3-642-40173-2_39,,2013,/scholar?cites=4358404854163458157,jTWw55gAAAAJ:zYLM7Y9cAGgC
1027009,"Developing database (DB) and data warehouse (DW) applications pass through three main phrases imposed by the ANSI/SPARC architecture: conceptual modeling, logical modeling and physical modeling. Some research efforts add a new ontological level above the conceptual one. This architecture has created two main actors whose presence is mandatory to ensure the success of applications: “conceptual designer” for conceptual and logical levels and “database administrators” (DBA) for physical level. Note that some administration tasks need some inputs from conceptual phase. Unfortunately, interaction between these two actors is negligible. Recently, some research and industrial efforts identify a highest cost of DBA and propose tools (advisors) to replace them, in order to ensure what we call zero-administration. The main limitation of these tools is their robustness. In this paper, we propose a new human …",Ladjel Bellatreche and Selma Khouri and Ilyès Boukhari and Rima Bouchakri,10,16252398042372752025,,,1568-1573,IEEE,Using ontologies and requirements for constructing and optimizing data warehouses,https://ieeexplore.ieee.org/abstract/document/6240902/,,2012,/scholar?cites=16252398042372752025,jTWw55gAAAAJ:Tyk-4Ss8FVUC
