id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations

1001000,"Each year, the American Heart Association (AHA), in conjunction with the Centers for Disease Control and Prevention, the National Institutes of Health, and other government agencies, brings together the most up-to-date statistics related to heart disease, stroke, and other cardiovascular and metabolic diseases and presents them in its Heart Disease and Stroke Statistical Update. The Statistical Update represents a critical resource for the lay public, policy makers, media professionals, clinicians, healthcare administrators, researchers, and others seeking the best available data on these conditions. Together, cardiovascular disease (CVD) and stroke produce immense health and economic burdens in the United States and globally. The Statistical Update brings together in a single document up-to-date information on the core health behaviors and health factors that define cardiovascular health; a range of major …",Dariush Mozaffarian and Emelia J Benjamin and Alan S Go and Donna K Arnett and Michael J Blaha and Mary Cushman and Sarah De Ferranti and Jean-Pierre Després and Heather J Fullerton and Virginia J Howard and Mark D Huffman and Suzanne E Judd and Brett M Kissela and Daniel T Lackland and Judith H Lichtman and Lynda D Lisabeth and Simin Liu and Rachel H Mackey and David B Matchar and Darren K McGuire and Emile R Mohler III and Claudia S Moy and Paul Muntner and Michael E Mussolino and Khurram Nasir and Robert W Neumar and Graham Nichol and Latha Palaniappan and Dilip K Pandey and Mathew J Reeves and Carlos J Rodriguez and Paul D Sorlie and Joel Stein and Amytis Towfighi and Tanya N Turan and Salim S Virani and Joshua Z Willey and Daniel Woo and Robert W Yeh and Melanie B Turner,15225,13697592986102470826,Circulation,4,434-441,Lippincott Williams & Wilkins,Executive summary: heart disease and stroke statistics—2015 update: a report from the American Heart Association,https://www.ahajournals.org/doi/abs/10.1161/CIR.0000000000000157,131,2015,/scholar?cites=13697592986102470826,oZB5st8AAAAJ:AeQkyvggb0MC

1001001,"Each year, the American Heart Association (AHA), in conjunction with the Centers for Disease Control and Prevention, the National Institutes of Health, and other government agencies, brings together in a single document the most up-to-date statistics related to heart disease, stroke, and the cardiovascular risk factors listed in the AHA’s My Life Check-Life’s Simple 7 (Figure 1), which include core health behaviors (smoking, physical activity, diet, and weight) and health factors (cholesterol, blood pressure [BP], and glucose control) that contribute to cardiovascular health. The Statistical Update represents a critical resource for the lay public, policy makers, media professionals, clinicians, healthcare administrators, researchers, health advocates, and others seeking the best available data on these factors and conditions. Cardiovascular disease (CVD) and stroke produce immense health and economic burdens in the …",Emelia J Benjamin and Salim S Virani and Clifton W Callaway and Alanna M Chamberlain and Alexander R Chang and Susan Cheng and Stephanie E Chiuve and Mary Cushman and Francesca N Delling and Rajat Deo and Sarah D de Ferranti and Jane F Ferguson and Myriam Fornage and Cathleen Gillespie and Carmen R Isasi and Monik C Jimenez and Lori Chaffin Jordan and Suzanne E Judd and Daniel Lackland and Judith H Lichtman and Lynda Lisabeth and Simin Liu and Chris T Longenecker and Pamela L Lutsey and Jason S Mackey and David B Matchar and Kunihiro Matsushita and Michael E Mussolino and Khurram Nasir and Martin O’Flaherty and Latha P Palaniappan and Ambarish Pandey and Dilip K Pandey and Mathew J Reeves and Matthew D Ritchey and Carlos J Rodriguez and Gregory A Roth and Wayne D Rosamond and Uchechukwu KA Sampson and Gary M Satou and Svati H Shah and Nicole L Spartano and David L Tirschwell and Connie W Tsao and Jenifer H Voeks and Joshua Z Willey and John T Wilkins and Jason HY Wu and Heather M Alger and Sally S Wong and Paul Muntner,6098,8973070304884454513,,,,"Lippincott Williams & Wilkins Hagerstown, MD",Heart disease and stroke statistics—2018 update: a report from the American Heart Association,https://academic.naver.com/openUrl.naver?doc_id=477260167&linkType=outlink,,2018,/scholar?cites=8973070304884454513,oZB5st8AAAAJ:tJ_1M1FLfZ0C

1001002,"Many patients have symptoms suggestive of coronary artery disease (CAD) and are often evaluated with the use of diagnostic testing, although there are limited data from randomized trials to guide care.We randomly assigned 10,003 symptomatic patients to a strategy of initial anatomical testing with the use of coronary computed tomographic angiography (CTA) or to functional testing (exercise electrocardiography, nuclear stress testing, or stress echocardiography). The composite primary end point was death, myocardial infarction, hospitalization for unstable angina, or major procedural complication. Secondary end points included invasive cardiac catheterization that did not show obstructive CAD and radiation exposure.The mean age of the patients was 60.8±8.3 years, 52.7% were women, and 87.7% had chest pain or dyspnea on exertion. The mean pretest likelihood of …",Pamela S Douglas and Udo Hoffmann and Manesh R Patel and Daniel B Mark and Hussein R Al-Khalidi and Brendan Cavanaugh and Jason Cole and Rowena J Dolor and Christopher B Fordyce and Megan Huang and Muhammad Akram Khan and Andrzej S Kosinski and Mitchell W Krucoff and Vinay Malhotra and Michael H Picard and James E Udelson and Eric J Velazquez and Eric Yow and Lawton S Cooper and Kerry L Lee,934,9821193953134447242,New England Journal of Medicine,14,1291-1300,Massachusetts Medical Society,Outcomes of anatomical versus functional testing for coronary artery disease,https://www.nejm.org/doi/full/10.1056/NEJMoa1415516,372,2015,/scholar?cites=9821193953134447242,oZB5st8AAAAJ:x8G803Bi31IC

1001003,"Nine plants were screened for potential antibacterial activity. In evaluating antibacterial activity both aqueous and organic solvents were used. The plants screened were Sapindus emarginatus, Hibiscus rosa-sinensis, Mirabilis jalapa, Rheo discolor, Nyctanthes arbortristis, Colocasia esculenta, Gracilaria corticata, Dictyota spps., and Pulicaria wightiana. Antibacterial activity was tested against 6 bacterial strains, Pseudomonas testosteroni, Staphylococcus epidermidis, Klebsiella pneumoniae, Bacillus subtilis, Proteus morganii, and Micrococcus flavus. Two methods, Agar disk diffusion and Agar ditch diffusion, were used to study the antibacterial activity of all these plants. Ps. testosteroni and K. pneumoniae were the most resistant bacterial strains. S. emarginatus showed strong activity against the tested bacterial strains. Therefore, this can be selected for further investigation to determine its therapeutic potential. Its leaf extract can also be used as a lead molecule in combating the diseases caused by the bacterial strains studied.",RATHISH NAIR and TAMANNA KALARIYA and Sumitra Chanda,705,15457269061511460159,Turkish Journal of biology,1,41-47,The Scientific and Technological Research Council of Turkey,Antibacterial activity of some selected Indian medicinal flora,http://journals.tubitak.gov.tr/biology/abstract.htm?id=7384,29,2005,/scholar?cites=15457269061511460159,oZB5st8AAAAJ:0BSZZHtHo6cC

1001004,"A major tenet of agroforestry, that trees maintain soil fertility, is based primarily on observations of higher crop yields near trees or where trees were previously grown. Recently objective analyses and controlled experiments have addressed this topic. This paper examines the issues of tree prunings containing sufficient nutrients to meet crop demands, the timing of nutrient transfer from decomposition to intercrops, the percent of nutrients released that are taken up by the crop, and the fate of nutrients not taken up by the crop.The amount of nutrients provided by prunings are determined by the production rate and nutrient concentrations, both depending on climate, soil type, tree species, plant part, tree density and tree pruning regime. A large number of screening and alley cropping trials in different climate-soil environments indicate that prunings of several tree species contain sufficient nutrients to …",Cheryl Ann Palm,606,15333256143335456589,Agroforestry systems,1-2,105-124,Kluwer Academic Publishers,Contribution of agroforestry trees to nutrient requirements of intercropped plants,https://link.springer.com/content/pdf/10.1007/BF00708916.pdf,30,1995,/scholar?cites=15333256143335456589,oZB5st8AAAAJ:DCYT7yIMjgYC
