id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations

1006000,"G eant 4 is a toolkit for simulating the passage of particles through matter. It includes a complete range of functionality including tracking, geometry, physics models and hits. The physics processes offered cover a comprehensive range, including electromagnetic, hadronic and optical processes, a large set of long-lived particles, materials and elements, over a wide energy range starting, in some cases, from 250 eV and extending in others to the TeV energy range. It has been designed and constructed to expose the physics models utilised, to handle complex geometries, and to enable its easy adaptation for optimal use in different sets of applications. The toolkit is the result of a worldwide collaboration of physicists and software engineers. It has been created exploiting software engineering and object-oriented technology and implemented in the C++ programming language. It has been used in applications in …",Sea Agostinelli and John Allison and K al Amako and John Apostolakis and H Araujo and P Arce and M Asai and D Axen and S Banerjee and G 2 Barrand and F Behner and L Bellagamba and J Boudreau and L Broglia and A Brunengo and H Burkhardt and S Chauvie and J Chuma and R Chytracek and G Cooperman and G Cosmo and P Degtyarenko and A Dell'Acqua and G Depaola and D Dietrich and R Enami and A Feliciello and C Ferguson and H Fesefeldt and G Folger and F Foppiano and A Forti and S Garelli and S Giani and R Giannitrapani and D Gibin and JJ Gómez Cadenas and I González and G Gracia Abril and G Greeniaus and W Greiner and V Grichine and A Grossheim and S Guatelli and P Gumplinger and R Hamatsu and K Hashimoto and H Hasui and A Heikkinen and A Howard and V Ivanchenko and A Johnson and FW Jones and J Kallenbach and N Kanaya and M Kawabata and Y Kawabata and M Kawaguti and S Kelner and P Kent and A Kimura and T Kodama and R Kokoulin and M Kossov and H Kurashige and E Lamanna and T Lampén and V Lara and V Lefebure and F Lei and M Liendl and W Lockman and Francesco Longo and S Magni and M Maire and E Medernach and K Minamimoto and P Mora De Freitas and Y Morita and K Murakami and M Nagamatu and R Nartallo and P Nieminen and Tt Nishimura and K Ohtsubo and M Okamura and S O'neale and Y Oohata and K Paech and Jj Perl and A Pfeiffer and MG Pia and F Ranjard and A Rybin and S Sadilov and E Di Salvo and G Santin and T Sasaki and N Savvas and Y Sawada and S Scherer and S Sei and V Sirotenko and D Smith and N Starkov and H Stoecker and J Sulkimo and M Takahata and S Tanaka and E Tcherniaev and E Safai Tehrani and M Tropeano and P Truscott and H Uno and L Urban and P Urban and M Verderi and A Walkden and W Wander and H Weber and JP Wellisch and T Wenaus and DC Williams and D Wright and T Yamada and H Yoshida and D Zschiesche and Geant4 Collaboration,30349,3175916574895626375,"Nuclear instruments and methods in physics research section A: Accelerators, Spectrometers, Detectors and Associated Equipment",3,250-303,North-Holland,GEANT4—a simulation toolkit,https://www.sciencedirect.com/science/article/pii/S0168900203013688,506,2003,/scholar?cites=3175916574895626375,h1AqFSwAAAAJ:XiSMed-E-HIC

1006001,"Geant4 is a software toolkit for the simulation of the passage of particles through matter. It is used by a large number of experiments and projects in a variety of application domains, including high energy physics, astrophysics and space science, medical physics and radiation protection. Its functionality and modeling capabilities continue to be extended, while its performance is enhanced. An overview of recent developments in diverse areas of the toolkit is presented. These include performance optimization for complex setups; improvements for the propagation in fields; new options for event biasing; and additions and improvements in geometry, physics processes and interactive capabilities",John Allison and Katsuya Amako and JEA Apostolakis and HAAH Araujo and P Arce Dubois and MAAM Asai and GABG Barrand and RACR Capra and SACS Chauvie and RACR Chytracek and GAP Cirrone and GACG Cooperman and GACG Cosmo and GACG Cuttone and GG Daquino and MADM Donszelmann and MADM Dressel and GAFG Folger and FAFF Foppiano and JAGJ Generowicz and VAGV Grichine and SAGS Guatelli and PAGP Gumplinger and AAHA Heikkinen and IAHI Hrivnacova and AAHA Howard and SAIS Incerti and VAIV Ivanchenko and Thomas Johnson and FAJF Jones and TAKT Koi and RAKR Kokoulin and MAKM Kossov and HAKH Kurashige and VALV Lara and SALS Larsson and FALF Lei and OALO Link and FALF Longo and MAMM Maire and AAMA Mantero and BAMB Mascialino and IAMI McLaren and P Mendez Lorenzo and KAMK Minamimoto and KAMK Murakami and PANP Nieminen and LAPL Pandola and SAPS Parlati and LAPL Peralta and JAPJ Perl and AAPA Pfeiffer and MG Pia and AARA Ribon and Paulo Rodrigues and GARG Russo and SASS Sadilov and GASG Santin and TAST Sasaki and DASD Smith and NASN Starkov and SATS Tanaka and EATE Tcherniaev and BATB Tome and AATA Trindade and PATP Truscott and LAUL Urban and MAVM Verderi and AAWA Walkden and JP Wellisch and DC Williams and DAWD Wright and HAYH Yoshida,6661,2318168060817873080,IEEE Transactions on nuclear science,1,270-278,IEEE,Geant4 developments and applications,https://ieeexplore.ieee.org/abstract/document/1610988/,53,2006,/scholar?cites=2318168060817873080,h1AqFSwAAAAJ:p2g8aNsByqUC

1006002,"We present new results based on the entire CHOOZ (The CHOOZ experiment is named after the new nuclear power station operated by Électricité de France (EdF) near the village of Chooz in the Ardennes region of France) data sample. We find (at 90% confidence level) no evidence for neutrino oscillations in the ν ̄ e disappearance mode, for the parameter region given by approximately δm 2> 7· 10− 4 eV 2 for maximum mixing, and sin 2 2θ= 0.10 for large δm 2. Lower sensitivity results, based only on the comparison of the positron spectra from the two different-distance nuclear reactors, are also presented; these are independent of the absolute normalization of the ν ̄ e flux, the cross section, the number of target protons and the detector efficiencies.",Marco Apollonio and A Baldini and C Bemporad and E Caffau and Fabrizio Cei and Y Declais and H De Kerret and B Dieterle and A Etenko and J George and G Giannini and M Grassi and Y Kozlov and W Kropp and D Kryn and M Laiman and CE Lane and B Lefievre and I Machulin and A Martemyanov and V Martemyanov and L Mikaelyan and Donato Nicolo and M Obolensky and R Pazzi and G Pieri and L Price and S Riley and R Reeder and A Sabelnikov and G Santin and M Skorokhvatov and H Sobel and J Steele and R Steinberg and S Sukhotin and S Tomshaw and D Veron and V Vyrodov,2149,13298418707217520363,Physics Letters B,2-4,415-430,North-Holland,Limits on neutrino oscillations from the CHOOZ experiment,https://www.sciencedirect.com/science/article/pii/S0370269399010722,466,1999,/scholar?cites=13298418707217520363,h1AqFSwAAAAJ:BrmTIyaxlBUC

1006003,"Monte Carlo simulation is an essential tool in emission tomography that can assist in the design of new medical imaging devices, the optimization of acquisition protocols and the development or assessment of image reconstruction algorithms and correction techniques. GATE, the Geant4 Application for Tomographic Emission, encapsulates the Geant4 libraries to achieve a modular, versatile, scripted simulation toolkit adapted to the field of nuclear medicine. In particular, GATE allows the description of time-dependent phenomena such as source or detector movement, and source decay kinetics. This feature makes it possible to simulate time curves under realistic acquisition conditions and to test dynamic reconstruction algorithms. This paper gives a detailed description of the design and development of GATE by the OpenGATE collaboration, whose continuing objective is to improve, document and validate GATE …",Sébastien Jan and G Santin and D Strul and Steven Staelens and K Assie and D Autret and S Avner and R Barbier and M Bardies and PM Bloomfield and D Brasse and Vincent Breton and P Bruyndonckx and I Buvat and AF Chatziioannou and Y Choi and YH Chung and C Comtat and D Donnarieix and L Ferrer and SJ Glick and CJ Groiselle and D Guez and PF Honore and S Kerhoas-Cavata and AS Kirov and V Kohli and Michel Koole and M Krieguer and DJ Van der Laan and F Lamare and G Largeron and C Lartizien and D Lazaro and MC Maas and L Maigne and F Mayet and F Melot and C Merheb and E Pennacchio and J Perez and U Pietrzyk and FR Rannou and M Rey and DR Schaart and CR Schmidtlein and L Simon and TY Song and JM Vieira and D Visvikis and Rik Van de Walle and E Wieërs and Christian Morel,1865,5709544416405543235,Physics in Medicine & Biology,19,4543,IOP Publishing,GATE: a simulation toolkit for PET and SPECT,https://iopscience.iop.org/article/10.1088/0031-9155/49/19/007/meta,49,2004,/scholar?cites=5709544416405543235,h1AqFSwAAAAJ:YOwf2qJgpHMC

1006004," This final article about the CHOOZ experiment presents a complete description of the  source and detector, the calibration methods and stability checks, the event reconstruction procedures and the Monte Carlo simulation. The data analysis, systematic effects and the methods used to reach our conclusions are fully discussed. Some new remarks are presented on the deduction of the confidence limits and on the correct treatment of systematic errors.",M Apollonio and A Baldini and C Bemporad and E Caffau and F Cei and Y Declais and H De Kerret and B Dieterle and A Etenko and L Foresti and J George and G Giannini and M Grassi and Y Kozlov and W Kropp and D Kryn and M Laiman and CE Lane and B Lefievre and I Machulin and A Martemyanov and V Martemyanov and L Mikaelyan and D Nicolo and M Obolensky and R Pazzi and G Pieri and L Price and S Riley and R Reeder and A Sabelnikov and G Santin and M Skorokhvatov and H Sobel and J Steele and R Steinberg and S Sukhotin and S Tomshaw and D Veron and V Vyrodov,1696,6463904584572436794,The European Physical Journal C-Particles and Fields,3,331-374,Springer-Verlag,Search for neutrino oscillations on a long base-line at the CHOOZ nuclear power station,https://link.springer.com/article/10.1140/epjc/s2002-01127-9,27,2003,/scholar?cites=6463904584572436794,h1AqFSwAAAAJ:aqlVkmm33-oC
